image_id,image_location,turtle_id,class,Unnamed: 0,Unnamed: 0.1
ID_P8HXJ2SR,left,t_id_8b8sprYe,33,,
ID_5H36XGUB,top,t_id_Kf73l69A,39,,
ID_3G500MQW,left,t_id_IP1t15lD,54,,
ID_EPVDPWJW,right,t_id_uJXT7dGu,41,,
ID_XZNBVORT,right,t_id_uJXT7dGu,41,,
ID_2OORWNWM,right,t_id_hRzOoJ2t,46,,
ID_VIN9WYSK,top,t_id_72SiiZCp,58,,
ID_36IV1E98,top,t_id_87CLFCvE,35,,
ID_EMH5M4GV,left,t_id_ROFhVsy2,69,,
ID_PKH2VH9R,top,t_id_VP2NW7aV,87,,
ID_ZSBS0O3K,top,t_id_ROFhVsy2,69,,
ID_Q31894PE,top,t_id_HcnnlRda,10,,
ID_HPQ5LB6B,top,t_id_WDCMGvI4,52,,
ID_X544I2JH,right,t_id_ROFhVsy2,69,,
ID_1DDCV5Q1,right,t_id_stWei2Uq,37,,
ID_ZTSBEHTH,top,t_id_dVQ4x3wz,30,,
ID_0GMRVK1K,right,t_id_uJXT7dGu,41,,
ID_75Q12DUU,left,t_id_fjHGjp1w,8,,
ID_3MZMD48C,right,t_id_m2JvEcsg,2,,
ID_HDQ2HTRZ,left,t_id_DPYQnZyv,26,,
ID_R34ZH4EL,left,t_id_Kf73l69A,39,,
ID_51GXXQ2Y,right,t_id_JI6ba2Yx,31,,
ID_8RH9U956,right,t_id_utw0thCe,36,,
ID_DLCCII6A,top,t_id_g9Fz8PH7,75,,
ID_IPBCA1K4,top,t_id_SwQZGIpa,86,,
ID_232HUB3N,right,t_id_IlO9BOKc,13,,
ID_0ZZ13T2Q,left,t_id_Kf73l69A,39,,
ID_3DCZRDYS,top,t_id_JI6ba2Yx,31,,
ID_BFEIUVKE,left,t_id_OqU1NWEA,17,,
ID_C9Z8OH3Q,right,t_id_VP2NW7aV,87,,
ID_X88JUXRH,top,t_id_MwnEYfqe,79,,
ID_3G585E73,right,t_id_QqeoI5F3,43,,
ID_JQ880K3B,top,t_id_YjXYTCGC,6,,
ID_MZJ7T2HY,Right,t_id_HxxqrdTx,44,,
ID_3KQPOZH2,right,t_id_IP3xtKuX,94,,
ID_EHBK5QZB,right,t_id_SwQZGIpa,86,,
ID_TJQHHY6Z,right,t_id_JI6ba2Yx,31,,
ID_I9I34HP4,top,t_id_hRzOoJ2t,46,,
ID_29XH0KCY,top,t_id_BI99coHt,29,,
ID_UG2TVKMW,left,t_id_8b8sprYe,33,,
ID_PG9GEBED,left,t_id_qZ0iZYsC,61,,
ID_S92A4W3D,right,t_id_4ZfTUmwL,99,,
ID_4G43AB8P,top,t_id_AMnriNb5,12,,
ID_FI2HUMDU,top,t_id_dVQ4x3wz,30,,
ID_C8VF2TP8,right,t_id_2QmcRkNj,11,,
ID_89PTEHFL,left,t_id_fxTQ5vHC,48,,
ID_A23ODPZB,left,t_id_4XiPKIk7,49,,
ID_TMGBD56H,right,t_id_QqeoI5F3,43,,
ID_VBPPR3Y7,right,t_id_DbmclTcj,62,,
ID_TM5CCJQ7,left,t_id_GrxmyS59,20,,
ID_NO9OIJ2H,top,t_id_G5eoqwD8,74,,
ID_86H4SWHF,right,t_id_0g31STvR,51,,
ID_X9LXO5HR,right,t_id_G5eoqwD8,74,,
ID_AHAESL2D,right,t_id_Imm5pnNf,90,,
ID_EFS5ZIVU,right,t_id_WXXcPTSW,23,,
ID_O1BPUT8S,top,t_id_VFb44eFm,22,,
ID_J2Y1DSBL,top,t_id_uMOOrQu7,59,,
ID_HLRPJPLM,top,t_id_3fKmnkBS,68,,
ID_L547VRCF,right,t_id_mpuNp8mf,53,,
ID_3RBHM6FO,right,t_id_iZQiE7wb,57,,
ID_ENXXPGGR,right,t_id_8b8sprYe,33,,
ID_YR8D6IQ6,top,t_id_fxTQ5vHC,48,,
ID_J3FIC6EP,Top,t_id_p77GDtzg,97,,
ID_8DDL17XK,Left,t_id_HxxqrdTx,44,,
ID_Q3U7PBL2,top,t_id_NW7wn8TC,27,,
ID_HW28KOA7,Left,t_id_B7LaSiac,32,,
ID_GS2F2MW5,right,t_id_mXD9Bjsb,93,,
ID_YB3TP5OR,right,t_id_WDCMGvI4,52,,
ID_XAO3YF62,top,t_id_D0gA44av,25,,
ID_B61OR82C,left,t_id_15bo4NKD,91,,
ID_ZH72MNHJ,left,t_id_gGQbn7FA,73,,
ID_EAY71H9C,top,t_id_G5JLzvai,72,,
ID_4LFAG0GT,left,t_id_EEbWq5Pj,89,,
ID_K7F402DY,right,t_id_fxTQ5vHC,48,,
ID_HDPVDTHZ,Left,t_id_GOIvCduN,55,,
ID_3VW2J1FZ,right,t_id_fxTQ5vHC,48,,
ID_LH598T6E,right,t_id_hRzOoJ2t,46,,
ID_7OYMWNUE,right,t_id_D3kHUEgp,70,,
ID_D329XY40,left,t_id_OqU1NWEA,17,,
ID_FIGY3T6W,left,t_id_9GFmcOd5,77,,
ID_VL36TJCA,right,t_id_JI6ba2Yx,31,,
ID_1BWWORQD,left,t_id_8b8sprYe,33,,
ID_BKAN6GHT,left,t_id_bYageLYA,28,,
ID_1SPFXL92,top,t_id_JI6ba2Yx,31,,
ID_V8HWPX4S,top,t_id_8b8sprYe,33,,
ID_546OK6LK,left,t_id_YjXYTCGC,6,,
ID_DJI922WL,left,t_id_pCO59rOk,40,,
ID_3FEFN3JQ,top,t_id_JI6ba2Yx,31,,
ID_M760T3Y0,left,t_id_pCO59rOk,40,,
ID_9D7O7BNO,Right,t_id_GOIvCduN,55,,
ID_J4LJW3XC,left,t_id_dVQ4x3wz,30,,
ID_L93UPACV,right,t_id_uIlC9Gfo,67,,
ID_IDKTP9P7,Left,t_id_HxxqrdTx,44,,
ID_O1OIO05P,left,t_id_VP2NW7aV,87,,
ID_AHKMI3EV,Top,t_id_GOIvCduN,55,,
ID_FL86KCKT,left,t_id_2QmcRkNj,11,,
ID_8IOQ3H20,top,t_id_pCO59rOk,40,,
ID_P1M2DQ92,right,t_id_87CLFCvE,35,,
ID_ISM3W0LK,top,t_id_a4VYrmyA,64,,
ID_XHXFJ7S5,right,t_id_dVQ4x3wz,30,,
ID_X5IGA7ZC,left,t_id_tjWepji1,80,,
ID_Z5PB47TH,left,t_id_FBsGDJhU,1,,
ID_C0XD1GPV,top,t_id_uMOOrQu7,59,,
ID_P4F3CMRN,left,t_id_72SiiZCp,58,,
ID_YM0BCX48,left,t_id_bYageLYA,28,,
ID_VXBRYHSY,right,t_id_UVQa4BMz,95,,
ID_VF3L51JZ,left,t_id_SwQZGIpa,86,,
ID_AS53QVYU,left,t_id_3K93fQBS,16,,
ID_CM43B6M7,right,t_id_dVQ4x3wz,30,,
ID_H44WASZ9,left,t_id_uJXT7dGu,41,,
ID_95CNJ5F9,top,t_id_dVQ4x3wz,30,,
ID_AKFBYQEI,top,t_id_Kf73l69A,39,,
ID_GBIPGKYA,top,t_id_ZfvZBX4Q,7,,
ID_5J29FOYV,left,t_id_ZfvZBX4Q,7,,
ID_LWUBIFZE,top,t_id_dc6pjonY,71,,
ID_WBWA783J,left,t_id_WDCMGvI4,52,,
ID_8QBFZHVC,Top,t_id_B7LaSiac,32,,
ID_IR0HZ7PU,top,t_id_hRzOoJ2t,46,,
ID_EROKDWQ1,left,t_id_uVgs53Cz,0,,
ID_PEKZ9E1J,Top,t_id_3b65X5Lw,98,,
ID_0OAKNJBQ,right,t_id_e9i3Lbq4,82,,
ID_T4X2NJXT,left,t_id_C0wevyOl,65,,
ID_ISHFXKJ8,right,t_id_dVQ4x3wz,30,,
ID_WCY4UDSS,right,t_id_n2FBHk6d,21,,
ID_IDU43BVE,top,t_id_ROFhVsy2,69,,
ID_LE932Y06,left,t_id_C0wevyOl,65,,
ID_Q8DDPT7E,right,t_id_KysHzQQK,84,,
ID_1RWHLFRK,right,t_id_e9i3Lbq4,82,,
ID_BQ73PAMG,top,t_id_WXXcPTSW,23,,
ID_L7ZYGMUD,left,t_id_AOWArhGb,34,,
ID_2QZRGCJ2,top,t_id_ZfvZBX4Q,7,,
ID_UA7QCOAK,left,t_id_JI6ba2Yx,31,,
ID_XLKC56IP,left,t_id_hRzOoJ2t,46,,
ID_CZKED7NQ,right,t_id_YjXYTCGC,6,,
ID_AKIY2YEW,right,t_id_utw0thCe,36,,
ID_6HWD3G9K,right,t_id_1KIezxkh,78,,
ID_SRV002C5,left,t_id_hRzOoJ2t,46,,
ID_LND5MMIH,left,t_id_stWei2Uq,37,,
ID_LP7JUNDW,right,t_id_ip3jsrYo,60,,
ID_DTHCY847,left,t_id_a4VYrmyA,64,,
ID_PCVB2UVB,top,t_id_mXD9Bjsb,93,,
ID_B30P44N6,left,t_id_tjWepji1,80,,
ID_2SKJ6BRJ,top,t_id_9GFmcOd5,77,,
ID_OKOS05PC,left,t_id_BI99coHt,29,,
ID_O3PSB5YN,left,t_id_Ts5LyVQz,14,,
ID_SEKK9MFX,right,t_id_fxTQ5vHC,48,,
ID_RXGFH8F1,top,t_id_3K93fQBS,16,,
ID_4PYQJ8EO,top,t_id_KysHzQQK,84,,
ID_65RDT286,left,t_id_AOWArhGb,34,,
ID_VJIW0DHC,top,t_id_2Yn71r7R,47,,
ID_A7UAJD5D,left,t_id_WDCMGvI4,52,,
ID_WBNFY7BJ,right,t_id_C0wevyOl,65,,
ID_54EE1LXT,top,t_id_uJXT7dGu,41,,
ID_97MM8CO3,right,t_id_G5eoqwD8,74,,
ID_703GHGF1,left,t_id_8b8sprYe,33,,
ID_R6B3K6OE,top,t_id_C0wevyOl,65,,
ID_QNS796W6,left,t_id_MwnEYfqe,79,,
ID_W3IKGL2R,top,t_id_UVQa4BMz,95,,
ID_8ESGYE0F,top,t_id_Kc1tXDbJ,19,,
ID_QG488M1V,top,t_id_fxTQ5vHC,48,,
ID_MOPYVC4U,right,t_id_DPYQnZyv,26,,
ID_IR5VEFCL,right,t_id_72SiiZCp,58,,
ID_3KTXJW0H,right,t_id_MwnEYfqe,79,,
ID_DV4O9HZA,left,t_id_BI99coHt,29,,
ID_6LEAO1CH,top,t_id_uIlC9Gfo,67,,
ID_OZC6KK0Q,left,t_id_hibDzPAP,83,,
ID_HHQ41BU3,top,t_id_a4VYrmyA,64,,
ID_VO5H8L80,top,t_id_Ts5LyVQz,14,,
ID_BZK50GKL,left,t_id_Lhp87PBX,15,,
ID_RI6JUEDZ,top,t_id_Imm5pnNf,90,,
ID_HP6JW8Z7,top,t_id_n2FBHk6d,21,,
ID_0WB4N789,left,t_id_IlO9BOKc,13,,
ID_8553S13P,right,t_id_Dv4O8bOM,5,,
ID_8R011BJ7,top,t_id_dVQ4x3wz,30,,
ID_TJKJK3GT,right,t_id_IlO9BOKc,13,,
ID_Z13GROFM,left,t_id_Ts5LyVQz,14,,
ID_JWE18L2H,right,t_id_D3kHUEgp,70,,
ID_6MJKC6BJ,right,t_id_dVQ4x3wz,30,,
ID_FFJ36MUY,top,t_id_SwQZGIpa,86,,
ID_TDEYFFRJ,right,t_id_bYageLYA,28,,
ID_TWD5RJ9O,left,t_id_m2JvEcsg,2,,
ID_60SCQFGY,right,t_id_utw0thCe,36,,
ID_H6T5L8AI,top,t_id_NW7wn8TC,27,,
ID_FP4ZKN3A,right,t_id_qZ0iZYsC,61,,
ID_9ST0DF4N,left,t_id_iD9ikw6Y,9,,
ID_KQVWICM0,right,t_id_VP2NW7aV,87,,
ID_RZJJGBVM,top,t_id_dhdJMT1K,96,,
ID_AMDTJIPS,right,t_id_2Yn71r7R,47,,
ID_GTDPVPZD,left,t_id_BXWccqAn,50,,
ID_TCVSL145,right,t_id_Kf73l69A,39,,
ID_HY882SAA,right,t_id_JI6ba2Yx,31,,
ID_LHGM7OJ1,top,t_id_n2FBHk6d,21,,
ID_CQWEMNVV,left,t_id_15bo4NKD,91,,
ID_EPGYE8QX,top,t_id_hRzOoJ2t,46,,
ID_W6PAU4FN,left,t_id_KysHzQQK,84,,
ID_MBUZ1F22,left,t_id_m2JvEcsg,2,,
ID_EVUFNQNS,left,t_id_IlO9BOKc,13,,
ID_20MTQNWG,right,t_id_VP2NW7aV,87,,
ID_JG2X5YIW,right,t_id_hRzOoJ2t,46,,
ID_L86CSRXZ,left,t_id_BI99coHt,29,,
ID_YHPURQZO,top,t_id_ROFhVsy2,69,,
ID_0R6UOFUQ,left,t_id_hRzOoJ2t,46,,
ID_KCU00M6B,top,t_id_ROFhVsy2,69,,
ID_1SQB2VWI,top,t_id_mXD9Bjsb,93,,
ID_Q1MUD2XZ,top,t_id_BI99coHt,29,,
ID_P98AEGPJ,right,t_id_X3bKBWYW,18,,
ID_L2125VIR,top,t_id_VP2NW7aV,87,,
ID_8P99DAQ6,left,t_id_FBsGDJhU,1,,
ID_TAQQB3K2,right,t_id_d6aYXtor,76,,
ID_SJA9AFSI,top,t_id_IP3xtKuX,94,,
ID_KSXCCVMZ,top,t_id_7gFFZy7i,56,,
ID_N58GPHRW,top,t_id_UVQa4BMz,95,,
ID_YK0MNJ2N,left,t_id_1KIezxkh,78,,
ID_V9JEPA3P,top,t_id_tjWepji1,80,,
ID_E1616ABY,right,t_id_G5eoqwD8,74,,
ID_OBXB53RL,right,t_id_QqeoI5F3,43,,
ID_2KIZ2SSX,left,t_id_JI6ba2Yx,31,,
ID_OMDR6UAR,right,t_id_3K93fQBS,16,,
ID_P121ABSO,left,t_id_IlO9BOKc,13,,
ID_4UQDWJ58,top,t_id_ROFhVsy2,69,,
ID_QQ57CMG4,right,t_id_JI6ba2Yx,31,,
ID_QCMJ1R3C,right,t_id_WXXcPTSW,23,,
ID_ILY5B208,right,t_id_ksTLswDT,63,,
ID_GUURCI27,left,t_id_2E8o5Jtl,38,,
ID_XNS8SR5S,left,t_id_Kf73l69A,39,,
ID_SBK2IX9S,left,t_id_0DPPpRUz,81,,
ID_DRUTUFVE,top,t_id_3fKmnkBS,68,,
ID_T8GUO53E,right,t_id_ksTLswDT,63,,
ID_7FE177TK,right,t_id_pCO59rOk,40,,
ID_84R3WB9U,top,t_id_AOWArhGb,34,,
ID_WKVO2R02,right,t_id_AMnriNb5,12,,
ID_XP78GEEH,Top,t_id_3b65X5Lw,98,,
ID_ICMRXSWD,right,t_id_AOWArhGb,34,,
ID_ZZEGHRM5,left,t_id_m2JvEcsg,2,,
ID_P1VMEEI7,top,t_id_BI99coHt,29,,
ID_2FBSU5IN,right,t_id_8b8sprYe,33,,
ID_F0Z888YE,right,t_id_mpuNp8mf,53,,
ID_MU5D7R4G,top,t_id_JI6ba2Yx,31,,
ID_Y0UPDHST,left,t_id_4ZfTUmwL,99,,
ID_AT0KPFQ3,top,t_id_2Yn71r7R,47,,
ID_TCDNCKKF,left,t_id_DPYQnZyv,26,,
ID_OMRKZUGR,top,t_id_7gFFZy7i,56,,
ID_7QHF1SO7,right,t_id_n2FBHk6d,21,,
ID_0E36WAY8,right,t_id_2QmcRkNj,11,,
ID_SOJDCDOH,right,t_id_WDCMGvI4,52,,
ID_6FA6IV5O,top,t_id_Kf73l69A,39,,
ID_ZPPQGRA2,right,t_id_8b8sprYe,33,,
ID_3IK2E9D5,right,t_id_n2FBHk6d,21,,
ID_76MP9I87,left,t_id_a4VYrmyA,64,,
ID_F0THKU1D,Right,t_id_k1rScFLB,85,,
ID_62UIINJS,right,t_id_0g31STvR,51,,
ID_KSUSBCGB,top,t_id_hRzOoJ2t,46,,
ID_BWDOXI5I,top,t_id_dVQ4x3wz,30,,
ID_4DDQCGNA,top,t_id_IlO9BOKc,13,,
ID_X4AQS1F5,right,t_id_VP2NW7aV,87,,
ID_6R2DK3T6,right,t_id_JI6ba2Yx,31,,
ID_NFGZXE2D,left,t_id_pCO59rOk,40,,
ID_BC9JEODE,left,t_id_0g31STvR,51,,
ID_1X2W3ABD,left,t_id_BXWccqAn,50,,
ID_HYAXC1YL,top,t_id_Ts5LyVQz,14,,
ID_5K7Z4FCS,right,t_id_m2JvEcsg,2,,
ID_36B1ASYK,top,t_id_stWei2Uq,37,,
ID_GHW970A6,right,t_id_0g31STvR,51,,
ID_Y7MU53B4,left,t_id_gz3whk0q,45,,
ID_7HN2MEC6,right,t_id_gJaKYxBQ,4,,
ID_WZMZ9XBA,left,t_id_G5eoqwD8,74,,
ID_CDLECQ5M,top,t_id_C0wevyOl,65,,
ID_38OZ45LI,right,t_id_J24awAHQ,3,,
ID_5XRXS3OO,left,t_id_JI6ba2Yx,31,,
ID_CQ9IDSKD,top,t_id_15bo4NKD,91,,
ID_7FCFWOER,right,t_id_a4VYrmyA,64,,
ID_2O9XULTA,top,t_id_ip3jsrYo,60,,
ID_ULJA2XPE,top,t_id_IlO9BOKc,13,,
ID_H0W0FGU3,top,t_id_dVQ4x3wz,30,,
ID_DU0KD26P,top,t_id_D0gA44av,25,,
ID_Z9VDOO3S,right,t_id_uMOOrQu7,59,,
ID_T8O3U5PP,right,t_id_uIlC9Gfo,67,,
ID_U68O8V5X,right,t_id_2QmcRkNj,11,,
ID_3HH7GGZ6,top,t_id_VP2NW7aV,87,,
ID_37OGYEDP,right,t_id_iZQiE7wb,57,,
ID_KCRUVR9W,right,t_id_stWei2Uq,37,,
ID_46B5FP3X,right,t_id_fjHGjp1w,8,,
ID_0TNFUYL8,right,t_id_3K93fQBS,16,,
ID_7Y8SXAI6,top,t_id_2QmcRkNj,11,,
ID_8T1WQZJE,left,t_id_Imm5pnNf,90,,
ID_4KDDR6E0,left,t_id_tjWepji1,80,,
ID_M8JKVA7O,top,t_id_D0gA44av,25,,
ID_5NER06CD,left,t_id_DPYQnZyv,26,,
ID_63BFNF8E,left,t_id_VP2NW7aV,87,,
ID_MZJHWLCE,top,t_id_ksTLswDT,63,,
ID_1RSRZF5W,right,t_id_JI6ba2Yx,31,,
ID_8PMW5U1H,left,t_id_dhdJMT1K,96,,
ID_H2MJAJ5W,top,t_id_uVgs53Cz,0,,
ID_NUL9C6NW,right,t_id_Lhp87PBX,15,,
ID_764Q4WFZ,top,t_id_AOWArhGb,34,,
ID_L627K1OF,right,t_id_utw0thCe,36,,
ID_9F8SKFKY,top,t_id_dVQ4x3wz,30,,
ID_BHC46VJD,top,t_id_qZ0iZYsC,61,,
ID_HP8RVWPA,right,t_id_NW7wn8TC,27,,
ID_6881RINB,right,t_id_Kf73l69A,39,,
ID_K4LZFKLS,left,t_id_BI99coHt,29,,
ID_DXMABDBX,right,t_id_2E8o5Jtl,38,,
ID_7ZRGUA9B,left,t_id_bYageLYA,28,,
ID_VW3H44ZQ,top,t_id_ZfvZBX4Q,7,,
ID_92UZ20IQ,top,t_id_87CLFCvE,35,,
ID_ZLHJADIY,left,t_id_a4VYrmyA,64,,
ID_BXVBBAWR,left,t_id_AOWArhGb,34,,
ID_OTOVP983,left,t_id_pCO59rOk,40,,
ID_ZPYEIZQI,top,t_id_Kf73l69A,39,,
ID_C9VEBF8B,right,t_id_FBsGDJhU,1,,
ID_TIBSUG79,right,t_id_DPYQnZyv,26,,
ID_31Q4VR77,right,t_id_tjWepji1,80,,
ID_26I2GKJZ,top,t_id_dc6pjonY,71,,
ID_XW4O8N8E,top,t_id_iD9ikw6Y,9,,
ID_KSBIHT36,Left,t_id_3b65X5Lw,98,,
ID_WT34D0XT,right,t_id_IlO9BOKc,13,,
ID_Z44QKKEG,Top,t_id_HxxqrdTx,44,,
ID_E5G47YQ8,left,t_id_UVQa4BMz,95,,
ID_F9KS2PWF,left,t_id_hRzOoJ2t,46,,
ID_YOA4VDQQ,left,t_id_stWei2Uq,37,,
ID_PFV2EGF9,left,t_id_m2JvEcsg,2,,
ID_PVTT5ZKJ,top,t_id_SwQZGIpa,86,,
ID_V1N07YAE,top,t_id_hRzOoJ2t,46,,
ID_SEKQSWSL,Right,t_id_HxxqrdTx,44,,
ID_T1KNJO5G,right,t_id_VP2NW7aV,87,,
ID_FEB9T2KD,right,t_id_Kc1tXDbJ,19,,
ID_UHU1IIQC,top,t_id_n2FBHk6d,21,,
ID_4J2HAZMF,left,t_id_8b8sprYe,33,,
ID_FLOEXSVU,left,t_id_Ts5LyVQz,14,,
ID_BT0K4YWB,left,t_id_m2JvEcsg,2,,
ID_9BUTQC0Z,right,t_id_ksTLswDT,63,,
ID_LEB8RNZI,top,t_id_G5eoqwD8,74,,
ID_BZMWVG2Z,left,t_id_dVQ4x3wz,30,,
ID_T0RVOG8N,right,t_id_C0wevyOl,65,,
ID_ZKUBFJI7,top,t_id_JI6ba2Yx,31,,
ID_WR45RUOR,top,t_id_pCO59rOk,40,,
ID_NL03TGV4,right,t_id_m2JvEcsg,2,,
ID_1LGEYXUO,right,t_id_BXWccqAn,50,,
ID_5ZX8LSS7,top,t_id_ifWwxWF4,92,,
ID_JLJSSMNQ,left,t_id_fjHGjp1w,8,,
ID_U1MVW6S7,top,t_id_iZQiE7wb,57,,
ID_UY2ETNZB,top,t_id_ROFhVsy2,69,,
ID_KT6FCS0X,top,t_id_tjWepji1,80,,
ID_MHDKVZD2,top,t_id_bYageLYA,28,,
ID_UQNK7X0M,left,t_id_2E8o5Jtl,38,,
ID_7UQA9P2D,left,t_id_uJXT7dGu,41,,
ID_Q3BEGYDZ,left,t_id_9GFmcOd5,77,,
ID_LPP8P5OF,top,t_id_a4VYrmyA,64,,
ID_0S3VQPSJ,left,t_id_72SiiZCp,58,,
ID_X0MM2VYN,top,t_id_DPYQnZyv,26,,
ID_EDZDTAIN,top,t_id_uIlC9Gfo,67,,
ID_J21SB4AN,top,t_id_EEbWq5Pj,89,,
ID_SRH3IZ3U,right,t_id_8b8sprYe,33,,
ID_LAPPUTJ2,left,t_id_9GFmcOd5,77,,
ID_Z04LDJBY,right,t_id_2Yn71r7R,47,,
ID_IRI9KYSS,top,t_id_9GFmcOd5,77,,
ID_3YAV8O0C,top,t_id_NW7wn8TC,27,,
ID_SEAPBGHV,left,t_id_ZfvZBX4Q,7,,
ID_7P7AES1R,right,t_id_7gFFZy7i,56,,
ID_D01WTSCG,right,t_id_ZfvZBX4Q,7,,
ID_1PXR5D4Y,right,t_id_0g31STvR,51,,
ID_GIJMFOY8,top,t_id_FBsGDJhU,1,,
ID_WZL2E48U,top,t_id_fxTQ5vHC,48,,
ID_6GFKRO0E,right,t_id_UVQa4BMz,95,,
ID_GGSJXPTX,right,t_id_WDCMGvI4,52,,
ID_W5BYB235,top,t_id_AOWArhGb,34,,
ID_9ADVDP9I,top,t_id_BI99coHt,29,,
ID_2DHZ5XI3,top,t_id_2E8o5Jtl,38,,
ID_BJCPAJN4,right,t_id_VP2NW7aV,87,,
ID_8M2XH14P,left,t_id_VP2NW7aV,87,,
ID_WR22JJ6C,right,t_id_tjWepji1,80,,
ID_S9LI7L4Z,top,t_id_EEbWq5Pj,89,,
ID_1HVIO966,left,t_id_WDCMGvI4,52,,
ID_H5C7TDY7,left,t_id_VP2NW7aV,87,,
ID_76AJYILO,right,t_id_NW7wn8TC,27,,
ID_T1D1QH16,top,t_id_Dv4O8bOM,5,,
ID_S2SH4EIH,left,t_id_d6aYXtor,76,,
ID_WAV9Q5DP,top,t_id_uIlC9Gfo,67,,
ID_UC3C1JCG,right,t_id_AOWArhGb,34,,
ID_5FYXVKCD,left,t_id_G5eoqwD8,74,,
ID_EZZ6R7T4,top,t_id_tjWepji1,80,,
ID_4IFPM26V,right,t_id_C0wevyOl,65,,
ID_UI1EJ6HH,left,t_id_8b8sprYe,33,,
ID_X86WZFKF,top,t_id_0g31STvR,51,,
ID_I9NOT9BE,left,t_id_9GFmcOd5,77,,
ID_L26HMPAO,left,t_id_dc6pjonY,71,,
ID_0Y7REA36,left,t_id_G5eoqwD8,74,,
ID_R5SZZUB7,left,t_id_UVQa4BMz,95,,
ID_D9J2KNJY,left,t_id_Kf73l69A,39,,
ID_AGM9I0H6,top,t_id_g9Fz8PH7,75,,
ID_GUOTLMU0,right,t_id_7gFFZy7i,56,,
